Processor,4 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (4 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.4
Chipset,Intel 440FX- 82441FX PMC
Memory,7168MB
Disk,32GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-93-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",4.78,
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",2.84,
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",4.78,
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",2.84,
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",4.78,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",1796.55,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",2060.83,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",1405.81,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",1813.26,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",1519.18,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",1559.66,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",1476.00,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 8",1529.89,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 16",2143.41,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 32",2510.25,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 16",2017.18,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 32",2040.54,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 4",0.91,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8",1.70,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4",0.97,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8",1.65,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16",1772.34,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 32",1887.81,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 16",1623.07,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 32",186.25,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 4",1.00,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 8",1.65,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 4",0.91,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 8",1.65,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 16",3.02,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 32",4.54,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 16",3.02,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 32",4.84,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 16",2.93,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 32",5.20,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 16",2.94,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 32",4.80,
"DD - Test: / - Block Size: 512M - Count: 1 - Oflag: direct",79.0,72.6,84.8
"DD - Test: / - Block Size: 512M - Count: 1 - Oflag: sync",61.5,68.0,63.6
"DD - Test: / - Block Size: 1G - Count: 1 - Oflag: direct",66.4,67.1,72.1
"DD - Test: / - Block Size: 1G - Count: 1 - Oflag: sync",57.3,56.0,60.8
"DD - Test: / - Block Size: 1G - Count: 2 - Oflag: direct",72.6,72.7,71.0
"DD - Test: / - Block Size: 1G - Count: 2 - Oflag: sync",66.5,69.7,65.0
"DD - Test: / - Block Size: 1G - Count: 4 - Oflag: direct",70.4,72.3,70.5
"DD - Test: / - Block Size: 1G - Count: 4 - Oflag: sync",66.2,67.6,67.7
"DD - Test: / - Block Size: 1G - Count: 8 - Oflag: direct",71.2,71.4,71.9
"DD - Test: / - Block Size: 1G - Count: 8 - Oflag: sync",66.3,66.3,66.3
"DD - Test: / - Block Size: 2G - Count: 1 - Oflag: direct",66.0,66.5,67.3
"DD - Test: / - Block Size: 2G - Count: 1 - Oflag: sync",68.5,68.5,67.3
"DD - Test: / - Block Size: 2G - Count: 2 - Oflag: direct",70.5,70.0,69.8
"DD - Test: / - Block Size: 2G - Count: 2 - Oflag: sync",66.6,66.0,69.8
