pts-all-tests-20160805

 ,"pts-all-tests","pts-all-tests-2"
Processor,16 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (16 Cores),16 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (16 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.4,OpenStack Foundation Nova v2015.1.4
Chipset,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC
Memory,16384MB,16384MB
Disk,158GB,158GB
Graphics,Cirrus Logic GD 5446,Cirrus Logic GD 5446
Network,Red Hat Virtio device,Red Hat Virtio device
OS,Ubuntu 14.04,Ubuntu 14.04
Kernel,3.13.0-92-generic (x86_64),3.13.0-92-generic (x86_64)
Compiler,GCC 4.8.4,GCC 4.8.4
File-System,ext4,ext4

 ,"pts-all-tests","pts-all-tests-2"
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8",1.73,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4",0.89,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8",1.64,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16",1834.71,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 32",1970.79,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 16",1404.17,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 32",1406.23,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 4",0.79,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 8",1.66,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 4",0.86,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 8",1.73,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 16",3.06,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 32",4.73,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 16",3.12,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 32",4.94,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 16",3.05,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 32",4.96,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 16",3.10,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 32",5.01,
"Compile Bench - Test: Compile",192.98,190.62
"Compile Bench - Test: Initial Create",80.15,79.83
"Compile Bench - Test: Read Compiled Tree",767.85,866.70
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",16.81,19.05
"PostMark - Disk Transaction Performance",2909,3063
"RAMspeed SMP - Integer Add",14144.72,13860.49
"RAMspeed SMP - Integer Copy",13441.21,13395.45
"RAMspeed SMP - Integer Scale",13507.52,13583.77
"RAMspeed SMP - Floating-Point Add",14145.33,14453.32
"Stream - Type: Copy",14773.28,15827.86
"Stream - Type: Scale",15014.46,15632.04
"Stream - Type: Triad",16927.54,17456.12
"Stream - Add",16476.30,17541.80
"Stream - Copy",14519.38,15827.86
"Stream - Scale",15014.46,15632.04
"Stream - Type: Add",16476.30,17541.80
"NAS Parallel Benchmarks - Test / Class: LU.A",11590.45,12102.92
"Timed MAFFT Alignment - Multiple Sequence Alignment",9.87,10.15
"CacheBench - Read Cache",2424.02,2523.29
"CacheBench - Write Cache",12048.47,12433.79
"Gcrypt Library - CAMELLIA256-ECB Cipher",3950,3907
"TSCP - AI Chess Performance",672131,655002
"John The Ripper - Traditional DES",11954333,12929667
"John The Ripper - Blowfish",7752,7195
"x264 - H.264 Video Encoding",92.09,98.37
"GraphicsMagick - HWB Color Space",85,85
"GraphicsMagick - Local Adaptive Thresholding",61,69
"GraphicsMagick - Sharpen",52,54
"GraphicsMagick - Resizing",82,87
"Himeno Benchmark - Poisson Pressure Solver",1033.64,1208.05
"7-Zip Compression - Compress Speed Test",15419,15933
"C-Ray - Total Time",16.34,16.47
