Processor,8 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (8 Cores)
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",1761.26
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",1398.97
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 8",1392.59
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 16",2453.60
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 32",2846.61
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 16",2427.15
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 32",2679.63
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 4",0.93
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8",1.70
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4",0.95
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8",1.65
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16",1783.96
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 32",2151.63
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 16",1338.10
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 32",1501.98
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 4",0.90
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 8",1.72
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 4",0.94
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 8",1.66
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 16",3.01
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 32",4.50
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 16",2.99
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 32",5.13
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 16",3.13
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 32",5.27
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 16",3.12
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 32",5.26
"DD - Test: / - Block Size: 512 - Count: 1 - Oflag: direct",72.3,73.9,81.6
"DD - Test: / - Block Size: 512 - Count: 1 - Oflag: sync",65.0,68.8,60.2
"DD - Test: / - Block Size: 1G - Count: 1 - Oflag: direct",68.0,71.8,70.2
"DD - Test: / - Block Size: 1G - Count: 1 - Oflag: sync",66.7,66.7,68.1
"DD - Test: / - Block Size: 1G - Count: 2 - Oflag: direct",70.8,72.6,68.8
"DD - Test: / - Block Size: 1G - Count: 2 - Oflag: sync",63.5,66.1,66.9
"DD - Test: / - Block Size: 1G - Count: 4 - Oflag: direct",71.2,70.0,71.7
"DD - Test: / - Block Size: 1G - Count: 4 - Oflag: sync",63.3,63.6,65.8
"DD - Test: / - Block Size: 1G - Count: 8 - Oflag: direct",71.6,71.4,70.2
"DD - Test: / - Block Size: 1G - Count: 8 - Oflag: sync",56.8,62.0,62.1
"DD - Test: / - Block Size: 2G - Count: 1 - Oflag: direct",62.0,62.3,62.9
"DD - Test: / - Block Size: 2G - Count: 1 - Oflag: sync",62.9,62.7,64.7
"DD - Test: / - Block Size: 2G - Count: 2 - Oflag: direct",67.2,65.4,67.4
"DD - Test: / - Block Size: 2G - Count: 2 - Oflag: sync",62.9,65.3,66.9
"DD - Test: / - Block Size: 2G - Count: 4 - Oflag: direct",70.4,71.4,70.8
"DD - Test: / - Block Size: 2G - Count: 4 - Oflag: sync",64.9,65.9,65.8
"DD - Test: / - Block Size: 4G - Count: 1 - Oflag: direct",65.2,66.6,66.2
"DD - Test: / - Block Size: 4G - Count: 1 - Oflag: sync",66.8,65.6,65.8
"DD - Test: / - Block Size: 4G - Count: 2 - Oflag: direct",69.6,69.1,70.7
"DD - Test: / - Block Size: 4G - Count: 2 - Oflag: sync",63.8,65.2,62.8,64.5
"DD - Test: / - Block Size: 8G - Count: 1 - Oflag: direct",65.4,65.0,70.3,67.7
"DD - Test: / - Block Size: 8G - Count: 1 - Oflag: sync",64.2,65.6,66.9
"DD - Test: /mnt - Block Size: 512M - Count: 1 - Oflag: direct",64.6,72.2,68.8
"DD - Test: /mnt - Block Size: 512M - Count: 1 - Oflag: sync",73.1,75.8,68.6
"DD - Test: /mnt - Block Size: 1G - Count: 1 - Oflag: direct",60.5,64.8,64.6
"DD - Test: /mnt - Block Size: 1G - Count: 1 - Oflag: sync",59.1,72.1,60.1
"DD - Test: /mnt - Block Size: 1G - Count: 2 - Oflag: direct",64.7,65.5,62.7
"DD - Test: /mnt - Block Size: 1G - Count: 2 - Oflag: sync",63.4,59.7,65.1,64.6
"DD - Test: /mnt - Block Size: 1G - Count: 4 - Oflag: direct",64.3,62.6,66.3
"DD - Test: /mnt - Block Size: 1G - Count: 4 - Oflag: sync",61.0,65.0,63.6
"DD - Test: /mnt - Block Size: 1G - Count: 8 - Oflag: direct",63.4,64.9,65.9
