ptsmemory-20160714

 ,"ptsmemory","ptscpu","ptsdisk","ptstiobench"
Processor,2 x AMD Opteron 4171 HE @ 2.09GHz (8 Cores),2 x AMD Opteron 4171 HE @ 2.09GHz (8 Cores),2 x AMD Opteron 4171 HE @ 2.09GHz (8 Cores),2 x AMD Opteron 4171 HE @ 2.09GHz (8 Cores)
Motherboard,Microsoft Virtual Machine v7.0,Microsoft Virtual Machine v7.0,Microsoft Virtual Machine v7.0,Microsoft Virtual Machine v7.0
Chipset,Intel 440BX/ZX/DX,Intel 440BX/ZX/DX,Intel 440BX/ZX/DX,Intel 440BX/ZX/DX
Memory,14336MB,14336MB,14336MB,14336MB
Disk,31GB Virtual Disk + 258GB Virtual Disk,31GB Virtual Disk + 258GB Virtual Disk,31GB Virtual Disk + 258GB Virtual Disk,31GB Virtual Disk + 258GB Virtual Disk
Graphics,Microsoft Hyper-V virtual VGA,Microsoft Hyper-V virtual VGA,Microsoft Hyper-V virtual VGA,Microsoft Hyper-V virtual VGA
OS,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04
Kernel,3.19.0-64-generic (x86_64),3.19.0-64-generic (x86_64),3.19.0-64-generic (x86_64),3.19.0-64-generic (x86_64)
Compiler,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4
File-System,ext4,ext4,ext4,ext4
Screen Resolution,1152x864,1152x864,1152x864,1152x864
System Layer,Microsoft Hyper-V Server,Microsoft Hyper-V Server,Microsoft Hyper-V Server,Microsoft Hyper-V Server

 ,"ptsmemory","ptscpu","ptsdisk","ptstiobench"
"x264 - H.264 Video Encoding",,39.29,,
"GraphicsMagick - HWB Color Space",,56,,
"GraphicsMagick - Local Adaptive Thresholding",,25,,
"GraphicsMagick - Sharpen",,29,,
"GraphicsMagick - Resizing",,48,,
"Himeno Benchmark - Poisson Pressure Solver",,239.61,,
"7-Zip Compression - Compress Speed Test",,6757,,
"C-Ray - Total Time",,58.17,,
"Parallel BZIP2 Compression - 256MB File Compression",,27.11,,
"Smallpt - Global Illumination Renderer; 100 Samples",,259,,
"Crafty - Elapsed Time",,280.58,,
"FLAC Audio Encoding - WAV To FLAC",,32.70,,
"LAME MP3 Encoding - WAV To MP3",,58.72,,
"FFmpeg - H.264 HD To NTSC DV",,37.82,,
"Tachyon - Total Time",,40.49,,
"OpenSSL - RSA 4096-bit Performance",,291.00,,
"Apache Benchmark - Static Web Page Serving",,5594.70,5551.73,
"AIO-Stress - Random Write",,,671.89,
"SQLite - Timed SQLite Insertions",,,490.08,
"FS-Mark - 1000 Files, 1MB Size",,,13.05,
"Dbench - 12 Clients",,,80.10,
"Dbench - 48 Clients",,,176.43,
"Dbench - 128 Clients",,,146.62,
"Dbench - 1 Clients",,,14.09,
"IOzone - 8GB Read Performance",,,1831.68,
"IOzone - 8GB Write Performance",,,32.24,
"Threaded I/O Tester - 64MB Random Read - 32 Threads",,,1611.35,
"Threaded I/O Tester - 64MB Random Write - 32 Threads",,,1.53,
"Compile Bench - Test: Compile",,,148.74,
"Compile Bench - Test: Initial Create",,,46.12,
"Compile Bench - Test: Read Compiled Tree",,,414.44,
